JRV;DEPTO_ID;MCPIO_ID;AREA_ID;CENTRO_ID;DEPTO_NOMBRE;DEPTO_ID_MUNI;MCPIO_NOMBRE
102;1;1;1;26;ATLANTIDA;1;LA CEIBA
102;1;1;1;26;ATLANTIDA;2;TRUJILLO
102;1;1;1;26;ATLANTIDA;3;COMAYAGUA
102;1;1;1;26;ATLANTIDA;4;SANTA ROSA DE COPAN
102;1;1;1;26;ATLANTIDA;5;SAN PEDRO SULA
102;1;1;1;26;ATLANTIDA;6;CHOLUTECA
102;1;1;1;26;ATLANTIDA;7;YUSCARAN
102;1;1;1;26;ATLANTIDA;8;DISTRITO CENTRAL
102;1;1;1;26;ATLANTIDA;9;PUERTO LEMPIRA
102;1;1;1;26;ATLANTIDA;10;LA ESPERANZA
102;1;1;1;26;ATLANTIDA;11;ROATAN
102;1;1;1;26;ATLANTIDA;12;LA PAZ
102;1;1;1;26;ATLANTIDA;13;GRACIAS
102;1;1;1;26;ATLANTIDA;14;OCOTEPEQUE
102;1;1;1;26;ATLANTIDA;15;JUTICALPA
102;1;1;1;26;ATLANTIDA;16;SANTA BARBARA
102;1;1;1;26;ATLANTIDA;17;NACAOME
102;1;1;1;26;ATLANTIDA;18;YORO
102;1;1;1;26;ATLANTIDA;20;HOUSTON
222;1;1;1;42;ATLANTIDA;1;LA CEIBA
222;1;1;1;42;ATLANTIDA;2;TRUJILLO
222;1;1;1;42;ATLANTIDA;3;COMAYAGUA
222;1;1;1;42;ATLANTIDA;4;SANTA ROSA DE COPAN
222;1;1;1;42;ATLANTIDA;5;SAN PEDRO SULA
222;1;1;1;42;ATLANTIDA;6;CHOLUTECA
222;1;1;1;42;ATLANTIDA;7;YUSCARAN
222;1;1;1;42;ATLANTIDA;8;DISTRITO CENTRAL
222;1;1;1;42;ATLANTIDA;9;PUERTO LEMPIRA
222;1;1;1;42;ATLANTIDA;10;LA ESPERANZA
222;1;1;1;42;ATLANTIDA;11;ROATAN
222;1;1;1;42;ATLANTIDA;12;LA PAZ
222;1;1;1;42;ATLANTIDA;13;GRACIAS
222;1;1;1;42;ATLANTIDA;14;OCOTEPEQUE
222;1;1;1;42;ATLANTIDA;15;JUTICALPA
222;1;1;1;42;ATLANTIDA;16;SANTA BARBARA
222;1;1;1;42;ATLANTIDA;17;NACAOME
222;1;1;1;42;ATLANTIDA;18;YORO
222;1;1;1;42;ATLANTIDA;20;HOUSTON
224;1;1;1;42;ATLANTIDA;1;LA CEIBA
224;1;1;1;42;ATLANTIDA;2;TRUJILLO
224;1;1;1;42;ATLANTIDA;3;COMAYAGUA
224;1;1;1;42;ATLANTIDA;4;SANTA ROSA DE COPAN
224;1;1;1;42;ATLANTIDA;5;SAN PEDRO SULA
224;1;1;1;42;ATLANTIDA;6;CHOLUTECA
224;1;1;1;42;ATLANTIDA;7;YUSCARAN
224;1;1;1;42;ATLANTIDA;8;DISTRITO CENTRAL
224;1;1;1;42;ATLANTIDA;9;PUERTO LEMPIRA
224;1;1;1;42;ATLANTIDA;10;LA ESPERANZA
224;1;1;1;42;ATLANTIDA;11;ROATAN
224;1;1;1;42;ATLANTIDA;12;LA PAZ
224;1;1;1;42;ATLANTIDA;13;GRACIAS
224;1;1;1;42;ATLANTIDA;14;OCOTEPEQUE
224;1;1;1;42;ATLANTIDA;15;JUTICALPA
224;1;1;1;42;ATLANTIDA;16;SANTA BARBARA
224;1;1;1;42;ATLANTIDA;17;NACAOME
224;1;1;1;42;ATLANTIDA;18;YORO
224;1;1;1;42;ATLANTIDA;20;HOUSTON
232;1;1;1;45;ATLANTIDA;1;LA CEIBA
232;1;1;1;45;ATLANTIDA;2;TRUJILLO
232;1;1;1;45;ATLANTIDA;3;COMAYAGUA
232;1;1;1;45;ATLANTIDA;4;SANTA ROSA DE COPAN
232;1;1;1;45;ATLANTIDA;5;SAN PEDRO SULA
232;1;1;1;45;ATLANTIDA;6;CHOLUTECA
232;1;1;1;45;ATLANTIDA;7;YUSCARAN
232;1;1;1;45;ATLANTIDA;8;DISTRITO CENTRAL
232;1;1;1;45;ATLANTIDA;9;PUERTO LEMPIRA
232;1;1;1;45;ATLANTIDA;10;LA ESPERANZA
232;1;1;1;45;ATLANTIDA;11;ROATAN
232;1;1;1;45;ATLANTIDA;12;LA PAZ
232;1;1;1;45;ATLANTIDA;13;GRACIAS
232;1;1;1;45;ATLANTIDA;14;OCOTEPEQUE
232;1;1;1;45;ATLANTIDA;15;JUTICALPA
232;1;1;1;45;ATLANTIDA;16;SANTA BARBARA
232;1;1;1;45;ATLANTIDA;17;NACAOME
232;1;1;1;45;ATLANTIDA;18;YORO
232;1;1;1;45;ATLANTIDA;20;HOUSTON
268;1;1;1;54;ATLANTIDA;1;LA CEIBA
268;1;1;1;54;ATLANTIDA;2;TRUJILLO
268;1;1;1;54;ATLANTIDA;3;COMAYAGUA
268;1;1;1;54;ATLANTIDA;4;SANTA ROSA DE COPAN
268;1;1;1;54;ATLANTIDA;5;SAN PEDRO SULA
268;1;1;1;54;ATLANTIDA;6;CHOLUTECA
268;1;1;1;54;ATLANTIDA;7;YUSCARAN
268;1;1;1;54;ATLANTIDA;8;DISTRITO CENTRAL
268;1;1;1;54;ATLANTIDA;9;PUERTO LEMPIRA
268;1;1;1;54;ATLANTIDA;10;LA ESPERANZA
268;1;1;1;54;ATLANTIDA;11;ROATAN
268;1;1;1;54;ATLANTIDA;12;LA PAZ
268;1;1;1;54;ATLANTIDA;13;GRACIAS
268;1;1;1;54;ATLANTIDA;14;OCOTEPEQUE
268;1;1;1;54;ATLANTIDA;15;JUTICALPA
268;1;1;1;54;ATLANTIDA;16;SANTA BARBARA
268;1;1;1;54;ATLANTIDA;17;NACAOME
268;1;1;1;54;ATLANTIDA;18;YORO
268;1;1;1;54;ATLANTIDA;20;HOUSTON
315;1;1;2;3;ATLANTIDA;1;LA CEIBA
315;1;1;2;3;ATLANTIDA;2;TRUJILLO
315;1;1;2;3;ATLANTIDA;3;COMAYAGUA
315;1;1;2;3;ATLANTIDA;4;SANTA ROSA DE COPAN
315;1;1;2;3;ATLANTIDA;5;SAN PEDRO SULA
315;1;1;2;3;ATLANTIDA;6;CHOLUTECA
315;1;1;2;3;ATLANTIDA;7;YUSCARAN
315;1;1;2;3;ATLANTIDA;8;DISTRITO CENTRAL
315;1;1;2;3;ATLANTIDA;9;PUERTO LEMPIRA
315;1;1;2;3;ATLANTIDA;10;LA ESPERANZA
315;1;1;2;3;ATLANTIDA;11;ROATAN
315;1;1;2;3;ATLANTIDA;12;LA PAZ
315;1;1;2;3;ATLANTIDA;13;GRACIAS
315;1;1;2;3;ATLANTIDA;14;OCOTEPEQUE
315;1;1;2;3;ATLANTIDA;15;JUTICALPA
315;1;1;2;3;ATLANTIDA;16;SANTA BARBARA
315;1;1;2;3;ATLANTIDA;17;NACAOME
315;1;1;2;3;ATLANTIDA;18;YORO
315;1;1;2;3;ATLANTIDA;20;HOUSTON
325;1;1;2;4;ATLANTIDA;1;LA CEIBA
325;1;1;2;4;ATLANTIDA;2;TRUJILLO
325;1;1;2;4;ATLANTIDA;3;COMAYAGUA
325;1;1;2;4;ATLANTIDA;4;SANTA ROSA DE COPAN
325;1;1;2;4;ATLANTIDA;5;SAN PEDRO SULA
325;1;1;2;4;ATLANTIDA;6;CHOLUTECA
325;1;1;2;4;ATLANTIDA;7;YUSCARAN
325;1;1;2;4;ATLANTIDA;8;DISTRITO CENTRAL
325;1;1;2;4;ATLANTIDA;9;PUERTO LEMPIRA
325;1;1;2;4;ATLANTIDA;10;LA ESPERANZA
325;1;1;2;4;ATLANTIDA;11;ROATAN
325;1;1;2;4;ATLANTIDA;12;LA PAZ
325;1;1;2;4;ATLANTIDA;13;GRACIAS
325;1;1;2;4;ATLANTIDA;14;OCOTEPEQUE
325;1;1;2;4;ATLANTIDA;15;JUTICALPA
325;1;1;2;4;ATLANTIDA;16;SANTA BARBARA
325;1;1;2;4;ATLANTIDA;17;NACAOME
325;1;1;2;4;ATLANTIDA;18;YORO
325;1;1;2;4;ATLANTIDA;20;HOUSTON
599;1;5;2;11;ATLANTIDA;1;LA MASICA
599;1;5;2;11;ATLANTIDA;2;SABA
599;1;5;2;11;ATLANTIDA;3;HUMUYA
599;1;5;2;11;ATLANTIDA;4;CORQUIN
599;1;5;2;11;ATLANTIDA;5;POTRERILLOS
599;1;5;2;11;ATLANTIDA;6;EL CORPUS
599;1;5;2;11;ATLANTIDA;7;GUINOPE
599;1;5;2;11;ATLANTIDA;8;EL PORVENIR
599;1;5;2;11;ATLANTIDA;9;VILLEDA MORALES
599;1;5;2;11;ATLANTIDA;10;DOLORES
599;1;5;2;11;ATLANTIDA;12;CHINACLA
599;1;5;2;11;ATLANTIDA;13;ERANDIQUE
599;1;5;2;11;ATLANTIDA;14;FRATERNIDAD
599;1;5;2;11;ATLANTIDA;15;DULCE NOMBRE DE CULMI
599;1;5;2;11;ATLANTIDA;16;CEGUACA
599;1;5;2;11;ATLANTIDA;17;CARIDAD
599;1;5;2;11;ATLANTIDA;18;JOCON
599;1;5;2;11;ATLANTIDA;20;NEW YORK
708;1;7;1;16;ATLANTIDA;1;TELA
708;1;7;1;16;ATLANTIDA;2;SANTA ROSA AGUAN
708;1;7;1;16;ATLANTIDA;3;LAMANI
708;1;7;1;16;ATLANTIDA;4;DOLORES
708;1;7;1;16;ATLANTIDA;5;SAN ANTONIO DE CORTES
708;1;7;1;16;ATLANTIDA;6;MARCOVIA
708;1;7;1;16;ATLANTIDA;7;LIURE
708;1;7;1;16;ATLANTIDA;8;LA LIBERTAD
708;1;7;1;16;ATLANTIDA;10;JESUS DE OTORO
708;1;7;1;16;ATLANTIDA;12;LAUTERIQUE
708;1;7;1;16;ATLANTIDA;13;GUARITA
708;1;7;1;16;ATLANTIDA;14;LA LABOR
708;1;7;1;16;ATLANTIDA;15;ESQUIPULAS DEL NORTE
708;1;7;1;16;ATLANTIDA;16;CONCEPCION DEL NORTE
708;1;7;1;16;ATLANTIDA;17;LANGUE
708;1;7;1;16;ATLANTIDA;18;OLANCHITO
708;1;7;1;16;ATLANTIDA;20;ATLANTA
775;1;7;2;20;ATLANTIDA;1;TELA
775;1;7;2;20;ATLANTIDA;2;SANTA ROSA AGUAN
775;1;7;2;20;ATLANTIDA;3;LAMANI
775;1;7;2;20;ATLANTIDA;4;DOLORES
775;1;7;2;20;ATLANTIDA;5;SAN ANTONIO DE CORTES
775;1;7;2;20;ATLANTIDA;6;MARCOVIA
775;1;7;2;20;ATLANTIDA;7;LIURE
775;1;7;2;20;ATLANTIDA;8;LA LIBERTAD
775;1;7;2;20;ATLANTIDA;10;JESUS DE OTORO
775;1;7;2;20;ATLANTIDA;12;LAUTERIQUE
775;1;7;2;20;ATLANTIDA;13;GUARITA
775;1;7;2;20;ATLANTIDA;14;LA LABOR
775;1;7;2;20;ATLANTIDA;15;ESQUIPULAS DEL NORTE
775;1;7;2;20;ATLANTIDA;16;CONCEPCION DEL NORTE
775;1;7;2;20;ATLANTIDA;17;LANGUE
775;1;7;2;20;ATLANTIDA;18;OLANCHITO
775;1;7;2;20;ATLANTIDA;20;ATLANTA
868;1;7;2;57;ATLANTIDA;1;TELA
868;1;7;2;57;ATLANTIDA;2;SANTA ROSA AGUAN
868;1;7;2;57;ATLANTIDA;3;LAMANI
868;1;7;2;57;ATLANTIDA;4;DOLORES
868;1;7;2;57;ATLANTIDA;5;SAN ANTONIO DE CORTES
868;1;7;2;57;ATLANTIDA;6;MARCOVIA
868;1;7;2;57;ATLANTIDA;7;LIURE
868;1;7;2;57;ATLANTIDA;8;LA LIBERTAD
868;1;7;2;57;ATLANTIDA;10;JESUS DE OTORO
868;1;7;2;57;ATLANTIDA;12;LAUTERIQUE
868;1;7;2;57;ATLANTIDA;13;GUARITA
868;1;7;2;57;ATLANTIDA;14;LA LABOR
868;1;7;2;57;ATLANTIDA;15;ESQUIPULAS DEL NORTE
868;1;7;2;57;ATLANTIDA;16;CONCEPCION DEL NORTE
868;1;7;2;57;ATLANTIDA;17;LANGUE
868;1;7;2;57;ATLANTIDA;18;OLANCHITO
868;1;7;2;57;ATLANTIDA;20;ATLANTA
901;1;8;2;4;ATLANTIDA;1;ARIZONA
901;1;8;2;4;ATLANTIDA;2;SONAGUERA
901;1;8;2;4;ATLANTIDA;3;LA TRINIDAD
901;1;8;2;4;ATLANTIDA;4;DULCE NOMBRE
901;1;8;2;4;ATLANTIDA;5;SAN FRANCISCO DE YOJOA
901;1;8;2;4;ATLANTIDA;6;MOROLICA
901;1;8;2;4;ATLANTIDA;7;MOROCELI
901;1;8;2;4;ATLANTIDA;8;LA VENTA
901;1;8;2;4;ATLANTIDA;10;MAGDALENA
901;1;8;2;4;ATLANTIDA;12;MARCALA
901;1;8;2;4;ATLANTIDA;13;LA CAMPA
901;1;8;2;4;ATLANTIDA;14;LUCERNA
901;1;8;2;4;ATLANTIDA;15;GUALACO
901;1;8;2;4;ATLANTIDA;16;CONCEPCION DEL SUR
901;1;8;2;4;ATLANTIDA;17;SAN FRANCISCO DE CORAY
901;1;8;2;4;ATLANTIDA;18;SANTA RITA
901;1;8;2;4;ATLANTIDA;20;CHICAGO
1049;2;1;2;37;COLON;1;LA CEIBA
1049;2;1;2;37;COLON;2;TRUJILLO
1049;2;1;2;37;COLON;3;COMAYAGUA
1049;2;1;2;37;COLON;4;SANTA ROSA DE COPAN
1049;2;1;2;37;COLON;5;SAN PEDRO SULA
1049;2;1;2;37;COLON;6;CHOLUTECA
1049;2;1;2;37;COLON;7;YUSCARAN
1049;2;1;2;37;COLON;8;DISTRITO CENTRAL
1049;2;1;2;37;COLON;9;PUERTO LEMPIRA
1049;2;1;2;37;COLON;10;LA ESPERANZA
1049;2;1;2;37;COLON;11;ROATAN
1049;2;1;2;37;COLON;12;LA PAZ
1049;2;1;2;37;COLON;13;GRACIAS
1049;2;1;2;37;COLON;14;OCOTEPEQUE
1049;2;1;2;37;COLON;15;JUTICALPA
1049;2;1;2;37;COLON;16;SANTA BARBARA
1049;2;1;2;37;COLON;17;NACAOME
1049;2;1;2;37;COLON;18;YORO
1049;2;1;2;37;COLON;20;HOUSTON
1070;2;2;2;1;COLON;1;EL PORVENIR
1070;2;2;2;1;COLON;2;BALFATE
1070;2;2;2;1;COLON;3;AJUTERIQUE
1070;2;2;2;1;COLON;4;CABAÑAS
1070;2;2;2;1;COLON;5;CHOLOMA
1070;2;2;2;1;COLON;6;APACILAGUA
1070;2;2;2;1;COLON;7;ALAUCA
1070;2;2;2;1;COLON;8;ALUBAREN
1070;2;2;2;1;COLON;9;BRUS LAGUNA
1070;2;2;2;1;COLON;10;CAMASCA
1070;2;2;2;1;COLON;11;GUANAJA
1070;2;2;2;1;COLON;12;AGUANQUETERIQUE
1070;2;2;2;1;COLON;13;BELEN
1070;2;2;2;1;COLON;14;BELEN GUALCHO
1070;2;2;2;1;COLON;15;CAMPAMENTO
1070;2;2;2;1;COLON;16;ARADA
1070;2;2;2;1;COLON;17;ALIANZA
1070;2;2;2;1;COLON;18;ARENAL
1070;2;2;2;1;COLON;20;LOS ANGELES
1342;2;8;2;26;COLON;1;ARIZONA
1342;2;8;2;26;COLON;2;SONAGUERA
1342;2;8;2;26;COLON;3;LA TRINIDAD
1342;2;8;2;26;COLON;4;DULCE NOMBRE
1342;2;8;2;26;COLON;5;SAN FRANCISCO DE YOJOA
1342;2;8;2;26;COLON;6;MOROLICA
1342;2;8;2;26;COLON;7;MOROCELI
1342;2;8;2;26;COLON;8;LA VENTA
1342;2;8;2;26;COLON;10;MAGDALENA
1342;2;8;2;26;COLON;12;MARCALA
1342;2;8;2;26;COLON;13;LA CAMPA
1342;2;8;2;26;COLON;14;LUCERNA
1342;2;8;2;26;COLON;15;GUALACO
1342;2;8;2;26;COLON;16;CONCEPCION DEL SUR
1342;2;8;2;26;COLON;17;SAN FRANCISCO DE CORAY
1342;2;8;2;26;COLON;18;SANTA RITA
1342;2;8;2;26;COLON;20;CHICAGO
1645;3;1;1;2;COMAYAGUA;1;LA CEIBA
1645;3;1;1;2;COMAYAGUA;2;TRUJILLO
1645;3;1;1;2;COMAYAGUA;3;COMAYAGUA
1645;3;1;1;2;COMAYAGUA;4;SANTA ROSA DE COPAN
1645;3;1;1;2;COMAYAGUA;5;SAN PEDRO SULA
1645;3;1;1;2;COMAYAGUA;6;CHOLUTECA
1645;3;1;1;2;COMAYAGUA;7;YUSCARAN
1645;3;1;1;2;COMAYAGUA;8;DISTRITO CENTRAL
1645;3;1;1;2;COMAYAGUA;9;PUERTO LEMPIRA
1645;3;1;1;2;COMAYAGUA;10;LA ESPERANZA
1645;3;1;1;2;COMAYAGUA;11;ROATAN
1645;3;1;1;2;COMAYAGUA;12;LA PAZ
1645;3;1;1;2;COMAYAGUA;13;GRACIAS
1645;3;1;1;2;COMAYAGUA;14;OCOTEPEQUE
1645;3;1;1;2;COMAYAGUA;15;JUTICALPA
1645;3;1;1;2;COMAYAGUA;16;SANTA BARBARA
1645;3;1;1;2;COMAYAGUA;17;NACAOME
1645;3;1;1;2;COMAYAGUA;18;YORO
1645;3;1;1;2;COMAYAGUA;20;HOUSTON
1770;3;1;1;25;COMAYAGUA;1;LA CEIBA
1770;3;1;1;25;COMAYAGUA;2;TRUJILLO
1770;3;1;1;25;COMAYAGUA;3;COMAYAGUA
1770;3;1;1;25;COMAYAGUA;4;SANTA ROSA DE COPAN
1770;3;1;1;25;COMAYAGUA;5;SAN PEDRO SULA
1770;3;1;1;25;COMAYAGUA;6;CHOLUTECA
1770;3;1;1;25;COMAYAGUA;7;YUSCARAN
1770;3;1;1;25;COMAYAGUA;8;DISTRITO CENTRAL
1770;3;1;1;25;COMAYAGUA;9;PUERTO LEMPIRA
1770;3;1;1;25;COMAYAGUA;10;LA ESPERANZA
1770;3;1;1;25;COMAYAGUA;11;ROATAN
1770;3;1;1;25;COMAYAGUA;12;LA PAZ
1770;3;1;1;25;COMAYAGUA;13;GRACIAS
1770;3;1;1;25;COMAYAGUA;14;OCOTEPEQUE
1770;3;1;1;25;COMAYAGUA;15;JUTICALPA
1770;3;1;1;25;COMAYAGUA;16;SANTA BARBARA
1770;3;1;1;25;COMAYAGUA;17;NACAOME
1770;3;1;1;25;COMAYAGUA;18;YORO
1770;3;1;1;25;COMAYAGUA;20;HOUSTON
1793;3;1;1;29;COMAYAGUA;1;LA CEIBA
1793;3;1;1;29;COMAYAGUA;2;TRUJILLO
1793;3;1;1;29;COMAYAGUA;3;COMAYAGUA
1793;3;1;1;29;COMAYAGUA;4;SANTA ROSA DE COPAN
1793;3;1;1;29;COMAYAGUA;5;SAN PEDRO SULA
1793;3;1;1;29;COMAYAGUA;6;CHOLUTECA
1793;3;1;1;29;COMAYAGUA;7;YUSCARAN
1793;3;1;1;29;COMAYAGUA;8;DISTRITO CENTRAL
1793;3;1;1;29;COMAYAGUA;9;PUERTO LEMPIRA
1793;3;1;1;29;COMAYAGUA;10;LA ESPERANZA
1793;3;1;1;29;COMAYAGUA;11;ROATAN
1793;3;1;1;29;COMAYAGUA;12;LA PAZ
1793;3;1;1;29;COMAYAGUA;13;GRACIAS
1793;3;1;1;29;COMAYAGUA;14;OCOTEPEQUE
1793;3;1;1;29;COMAYAGUA;15;JUTICALPA
1793;3;1;1;29;COMAYAGUA;16;SANTA BARBARA
1793;3;1;1;29;COMAYAGUA;17;NACAOME
1793;3;1;1;29;COMAYAGUA;18;YORO
1793;3;1;1;29;COMAYAGUA;20;HOUSTON
1878;3;1;2;23;COMAYAGUA;1;LA CEIBA
1878;3;1;2;23;COMAYAGUA;2;TRUJILLO
1878;3;1;2;23;COMAYAGUA;3;COMAYAGUA
1878;3;1;2;23;COMAYAGUA;4;SANTA ROSA DE COPAN
1878;3;1;2;23;COMAYAGUA;5;SAN PEDRO SULA
1878;3;1;2;23;COMAYAGUA;6;CHOLUTECA
1878;3;1;2;23;COMAYAGUA;7;YUSCARAN
1878;3;1;2;23;COMAYAGUA;8;DISTRITO CENTRAL
1878;3;1;2;23;COMAYAGUA;9;PUERTO LEMPIRA
1878;3;1;2;23;COMAYAGUA;10;LA ESPERANZA
1878;3;1;2;23;COMAYAGUA;11;ROATAN
1878;3;1;2;23;COMAYAGUA;12;LA PAZ
1878;3;1;2;23;COMAYAGUA;13;GRACIAS
1878;3;1;2;23;COMAYAGUA;14;OCOTEPEQUE
1878;3;1;2;23;COMAYAGUA;15;JUTICALPA
1878;3;1;2;23;COMAYAGUA;16;SANTA BARBARA
1878;3;1;2;23;COMAYAGUA;17;NACAOME
1878;3;1;2;23;COMAYAGUA;18;YORO
1878;3;1;2;23;COMAYAGUA;20;HOUSTON
1916;3;1;2;41;COMAYAGUA;1;LA CEIBA
1916;3;1;2;41;COMAYAGUA;2;TRUJILLO
1916;3;1;2;41;COMAYAGUA;3;COMAYAGUA
1916;3;1;2;41;COMAYAGUA;4;SANTA ROSA DE COPAN
1916;3;1;2;41;COMAYAGUA;5;SAN PEDRO SULA
1916;3;1;2;41;COMAYAGUA;6;CHOLUTECA
1916;3;1;2;41;COMAYAGUA;7;YUSCARAN
1916;3;1;2;41;COMAYAGUA;8;DISTRITO CENTRAL
1916;3;1;2;41;COMAYAGUA;9;PUERTO LEMPIRA
1916;3;1;2;41;COMAYAGUA;10;LA ESPERANZA
1916;3;1;2;41;COMAYAGUA;11;ROATAN
1916;3;1;2;41;COMAYAGUA;12;LA PAZ
1916;3;1;2;41;COMAYAGUA;13;GRACIAS
1916;3;1;2;41;COMAYAGUA;14;OCOTEPEQUE
1916;3;1;2;41;COMAYAGUA;15;JUTICALPA
1916;3;1;2;41;COMAYAGUA;16;SANTA BARBARA
1916;3;1;2;41;COMAYAGUA;17;NACAOME
1916;3;1;2;41;COMAYAGUA;18;YORO
1916;3;1;2;41;COMAYAGUA;20;HOUSTON
1918;3;1;2;42;COMAYAGUA;1;LA CEIBA
1918;3;1;2;42;COMAYAGUA;2;TRUJILLO
1918;3;1;2;42;COMAYAGUA;3;COMAYAGUA
1918;3;1;2;42;COMAYAGUA;4;SANTA ROSA DE COPAN
1918;3;1;2;42;COMAYAGUA;5;SAN PEDRO SULA
1918;3;1;2;42;COMAYAGUA;6;CHOLUTECA
1918;3;1;2;42;COMAYAGUA;7;YUSCARAN
1918;3;1;2;42;COMAYAGUA;8;DISTRITO CENTRAL
1918;3;1;2;42;COMAYAGUA;9;PUERTO LEMPIRA
1918;3;1;2;42;COMAYAGUA;10;LA ESPERANZA
1918;3;1;2;42;COMAYAGUA;11;ROATAN
1918;3;1;2;42;COMAYAGUA;12;LA PAZ
1918;3;1;2;42;COMAYAGUA;13;GRACIAS
1918;3;1;2;42;COMAYAGUA;14;OCOTEPEQUE
1918;3;1;2;42;COMAYAGUA;15;JUTICALPA
1918;3;1;2;42;COMAYAGUA;16;SANTA BARBARA
1918;3;1;2;42;COMAYAGUA;17;NACAOME
1918;3;1;2;42;COMAYAGUA;18;YORO
1918;3;1;2;42;COMAYAGUA;20;HOUSTON
1979;3;3;2;2;COMAYAGUA;1;ESPARTA
1979;3;3;2;2;COMAYAGUA;2;IRIONA
1979;3;3;2;2;COMAYAGUA;3;EL ROSARIO
1979;3;3;2;2;COMAYAGUA;4;CONCEPCION
1979;3;3;2;2;COMAYAGUA;5;OMOA
1979;3;3;2;2;COMAYAGUA;6;CONCEPCION DE MARIA
1979;3;3;2;2;COMAYAGUA;7;DANLI
1979;3;3;2;2;COMAYAGUA;8;CEDROS
1979;3;3;2;2;COMAYAGUA;9;AHUAS
1979;3;3;2;2;COMAYAGUA;10;COLOMONCAGUA
1979;3;3;2;2;COMAYAGUA;11;JOSE SANTOS GUARDIOLA
1979;3;3;2;2;COMAYAGUA;12;CABAÑAS
1979;3;3;2;2;COMAYAGUA;13;CANDELARIA
1979;3;3;2;2;COMAYAGUA;14;CONCEPCION
1979;3;3;2;2;COMAYAGUA;15;CATACAMAS
1979;3;3;2;2;COMAYAGUA;16;ATIMA
1979;3;3;2;2;COMAYAGUA;17;AMAPALA
1979;3;3;2;2;COMAYAGUA;18;EL NEGRITO
1979;3;3;2;2;COMAYAGUA;20;MIAMI
2101;3;6;2;5;COMAYAGUA;1;SAN FRANCISCO
2101;3;6;2;5;COMAYAGUA;2;SANTA FE
2101;3;6;2;5;COMAYAGUA;3;LA LIBERTAD
2101;3;6;2;5;COMAYAGUA;4;CUCUYAGUA
2101;3;6;2;5;COMAYAGUA;5;PUERTO CORTES
2101;3;6;2;5;COMAYAGUA;6;EL TRIUNFO
2101;3;6;2;5;COMAYAGUA;7;JACALEAPA
2101;3;6;2;5;COMAYAGUA;8;GUAIMACA
2101;3;6;2;5;COMAYAGUA;9;WAMPUSIRPI
2101;3;6;2;5;COMAYAGUA;10;INTIBUCA
2101;3;6;2;5;COMAYAGUA;12;GUAJIQUIRO
2101;3;6;2;5;COMAYAGUA;13;GUALCINCE
2101;3;6;2;5;COMAYAGUA;14;LA ENCARNACION
2101;3;6;2;5;COMAYAGUA;15;EL ROSARIO
2101;3;6;2;5;COMAYAGUA;16;SAN JOSE DE COLINAS
2101;3;6;2;5;COMAYAGUA;17;GOASCORAN
2101;3;6;2;5;COMAYAGUA;18;MORAZAN
2101;3;6;2;5;COMAYAGUA;20;WASHINGTON
2144;3;7;2;1;COMAYAGUA;1;TELA
2144;3;7;2;1;COMAYAGUA;2;SANTA ROSA AGUAN
2144;3;7;2;1;COMAYAGUA;3;LAMANI
2144;3;7;2;1;COMAYAGUA;4;DOLORES
2144;3;7;2;1;COMAYAGUA;5;SAN ANTONIO DE CORTES
2144;3;7;2;1;COMAYAGUA;6;MARCOVIA
2144;3;7;2;1;COMAYAGUA;7;LIURE
2144;3;7;2;1;COMAYAGUA;8;LA LIBERTAD
2144;3;7;2;1;COMAYAGUA;10;JESUS DE OTORO
2144;3;7;2;1;COMAYAGUA;12;LAUTERIQUE
2144;3;7;2;1;COMAYAGUA;13;GUARITA
2144;3;7;2;1;COMAYAGUA;14;LA LABOR
2144;3;7;2;1;COMAYAGUA;15;ESQUIPULAS DEL NORTE
2144;3;7;2;1;COMAYAGUA;16;CONCEPCION DEL NORTE
2144;3;7;2;1;COMAYAGUA;17;LANGUE
2144;3;7;2;1;COMAYAGUA;18;OLANCHITO
2144;3;7;2;1;COMAYAGUA;20;ATLANTA
